"entryID";"content";"category";"gender";"variantOf";"feminineOf";"phonetic1";"phonetic2";"originatingEntry";"processStatus";"typeModif";"raisonModif";"destinataireModif";"dateModif";"commentaireModif"
"74535";"grand-peine à";"functionWord";NULL;NULL;NULL;"a g R a~ p E n @";"a g R a~ p E n @";"GRAND-PEINE (À), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"74592";"gratis pro deo";"functionWord";NULL;NULL;NULL;"g R a t i s p R o d e o";"g R a t i s p R o d e o";"GRATIS, adv., adj. et subst. masc. inv.#vedette2:Gratis pro Deo, loc. lat.";"0";NULL;NULL;NULL;NULL;NULL
"74602";"se gratuler";"verb";NULL;NULL;NULL;"g R a t y l e";"g R a t y l e";"GRATULATION, subst. fém.#vedette2:Gratuler (se), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"74668";"grèver de la faim";"functionWord";NULL;NULL;NULL;"g R E v e d @ l a f e~";"g R E v e d @ l a f e~";"GRÈVE2 subst. fém.#vedette2:Grèver de la faim, loc. verb.,";"0";NULL;NULL;NULL;NULL;NULL
"74792";"guéau _";"functionWord";NULL;NULL;NULL;;;"GUÉ2(AU _/Ô _), loc. interjective";"0";NULL;NULL;NULL;NULL;NULL
"74849";"guingois de";"functionWord";NULL;NULL;NULL;"g e~ g w a d @";"g e~ g w a d @";"GUINGOIS, subst. masc.;GUINGOIS (DE), loc.";"0";NULL;NULL;NULL;NULL;NULL
"74909";"habeas corpus";"commonNoun";"masculine";NULL;NULL;"a b e a s k O R p u s";"a b e a s k O R p u s";"HABEAS CORPUS, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"75007";"se harpigner";"verb";NULL;NULL;NULL;"a R p i J e";"a R p i J e";"HARPER2 verbe trans.#vedette2:Harpigner (se), verbe pronom. réciproque.";"0";NULL;NULL;NULL;NULL;NULL
"75180";"se hépatiser";"verb";NULL;NULL;NULL;"e p a t i z e";"E/ p a t i z e";"HÉPATISÉ, -ÉE, adj.#vedette2:Hépatiser (s'), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"75371";"hic et nunc";"functionWord";NULL;NULL;NULL;"i k E t n u n k";"i k E/ t n u n k";"HIC ET NUNC, loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"75429";"hironde queue d'";"functionWord";NULL;NULL;NULL;"d i R o~ d k 2";"d i R o~ d k 2";"HIRONDELLE, subst. fém.#vedette2:Hironde (queue d'), loc.,";"0";NULL;NULL;NULL;NULL;NULL
"75519";"ho! ho!";"interjection";NULL;NULL;NULL;;;"OH, HO1 interj.#vedette2:Oh! oh!, ho! ho!, interj.";"0";NULL;NULL;NULL;NULL;NULL
"75595";"se hominiser";"verb";NULL;NULL;NULL;"O m i n i z e";"O/ m i n i z e";"HOMINISATION, subst. fém.#vedette2:Hominiser (s'), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"75916";"hyperacidité gastrique";"commonNoun";"feminine";NULL;NULL;"i p @ R a s i d i t e g a s t R i k @";"i p E/ R a s i d i t e g a s t R i k @";"HYPER-, élém. formant#vedette3:hyperacidité (gastrique), subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"75996";"hyper-grand luxe";"commonNoun";"masculine";NULL;NULL;"i p e g R a~ l y k s @";"i p e g R a~ l y k s @";"HYPER-, élém. formant#vedette3:hyper-grand luxe, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"76421";"illico presto";"functionWord";NULL;NULL;NULL;"i l i k o p R E s t o";"i l i k o p R E s t o";"ILLICO, adv.#vedette2:Illico presto, loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"76505";"se impénétrabiliser";"verb";NULL;NULL;NULL;"e~ p e n e t R a b i l i z e";"e~ p E/ n E/ t R a b i l i z e";"IMPÉNÉTRABLE, adj.#vedette2:Impénétrabiliser (s'), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"76575";"improviste à l'";"functionWord";NULL;NULL;NULL;"a l e~ p R O v i s t @";"a l e~ p R O/ v i s t @";"IMPROVISTE (À L'), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"76602";"se inanimer";"verb";NULL;NULL;NULL;"i n a n i m e";"i n a n i m e";"INANIMÉ, -ÉE, adj.#vedette2:Inanimer (s'), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"76606";"inarticulo mortis";"functionWord";NULL;NULL;NULL;"i n a R t i k y l o m O R t i";"i n a R t i k y l o m O R t i";"IN(-)3 (IN , IN-)élém. de loc.#vedette3:inarticulo mortis, loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"76706";"se indépendantiser";"verb";NULL;NULL;NULL;"e~ d e p a~ d a~ t i z e";"e~ d E/ p a~ d a~ t i z e";"INDÉPENDANT, -ANTE, adj.#vedette2:Indépendantiser (s'), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"76716";"se indéterminer";"verb";NULL;NULL;NULL;"e~ d e t E R m i n e";"e~ d E/ t E R m i n e";"INDÉTERMINÉ, -ÉE, adj. et subst. masc.#vedette2:Indéterminer (s'), verbe pronom. réfl.";"0";NULL;NULL;NULL;NULL;NULL
"76778";"se inébrier";"verb";NULL;NULL;NULL;"i n e b R i j e";"i n E/ b R i j e";"INÉBRIANT, -ANTE, adj.#vedette2:Inébrier (s'), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"76811";"in extenso";"functionWord";NULL;NULL;NULL;"i n E k s t e~ s o";"i n E k s t e~ s o";"IN EXTENSO, loc. adv. et adj.";"0";NULL;NULL;NULL;NULL;NULL
"76812";"in extenso";"adjective";NULL;NULL;NULL;"i n E k s t e~ s o";"i n E k s t e~ s o";"IN EXTENSO, loc. adv. et adj.";"0";NULL;NULL;NULL;NULL;NULL
"76814";"in extremis";"functionWord";NULL;NULL;NULL;"i n E k s t R e m i s";"i n E k s t R E/ m i s";"IN EXTREMIS, loc. adv. / EXTREMIS, voir IN EXTREMIS.";"0";NULL;NULL;NULL;NULL;NULL
"76816";"se infaillibiliser";"verb";NULL;NULL;NULL;"e~ f a j i b i l i z e";"e~ f a j i b i l i z e";"INFAILLIBLE, adj.#vedette2:Infaillibiliser (s'), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
