"entryID";"content";"category";"gender";"variantOf";"feminineOf";"phonetic1";"phonetic2";"originatingEntry";"processStatus";"typeModif";"raisonModif";"destinataireModif";"dateModif";"commentaireModif"
"83188";"pas-d'âne";"commonNoun";"masculine";NULL;NULL;"p a d a n @";"p a d a n @";"PAS-D'ÂNE, subst. masc. inv.";"0";NULL;NULL;NULL;NULL;NULL
"83277";"pataqu'est-ce";"commonNoun";"masculine";NULL;NULL;"p a t a k E s @";"p a t a k E s @";"PATAQUÈS, subst. masc.#vedette2:Pataqu'est-ce, subst. masc.,";"0";NULL;NULL;NULL;NULL;NULL
"83337";"patte-d'oie";"commonNoun";"feminine";NULL;NULL;"p a t @ d w a";"p a t @ d w a";"PATTE(-)D'OIE, (PATTE DOIE, PATTE-DOIE)subst. fém.";"1";NULL;NULL;NULL;NULL;NULL
"83818";"pet-en-l'air";"commonNoun";"masculine";NULL;NULL;"p E a~ l E R";"p E/ a~ l E R";"PET-EN-L'AIR, subst. masc. inv.";"0";NULL;NULL;NULL;NULL;NULL
"84384";"pied-d'alouette";"commonNoun";"masculine";NULL;NULL;"p j e d a l w E t @";"p j e d a l w E t @";"PIED(-)D'ALOUETTE, (PIED DALOUETTE, PIED-DALOUETTE)subst. masc.";"1";NULL;NULL;NULL;NULL;NULL
"85170";"pont-l'évêque";"commonNoun";"masculine";NULL;NULL;"p o~ l e v E k @";"p o~ l E/ v E k @";"PONT-L'ÉVÊQUE, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"85896";"presqu'îlette";"commonNoun";"feminine";NULL;NULL;"p R E s k i l E t @";"p R E s k i l E t @";"-ET, -ETTE, suff.#vedette3:Presqu'îlette, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"86401";"prud'homal";"adjective";NULL;NULL;NULL;"p R y d O m a l";"p R y d O m a l";"PRUD'HOMME, PRUDHOMME, subst. masc.#vedette2:Prud'hom(m)al, -ale, -aux, (Prudhomal, Prudhommal)adj.,";"0";NULL;NULL;NULL;NULL;NULL
"86402";"prud'hommal";"adjective";NULL;NULL;NULL;"p R y d O m a l";"p R y d O m a l";"PRUD'HOMME, PRUDHOMME, subst. masc.#vedette2:Prud'hom(m)al, -ale, -aux, (Prudhomal, Prudhommal)adj.,";"0";NULL;NULL;NULL;NULL;NULL
"86403";"prud'homme";"commonNoun";"masculine";NULL;NULL;"p R y d O m";"p R y d O m";"PRUD'HOMME, PRUDHOMME, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"86959";"quat'z arts";"commonNoun";"masculine";NULL;NULL;"k a t z a R";"k a t z a R";"QUATRE(-), (QUATRE , QUATRE-)élém. de compos.#vedette2:Quat'z Arts, subst. masc. plur.,";"0";NULL;NULL;NULL;NULL;NULL
"86965";"quelqu'un";"functionWord";NULL;NULL;NULL;"k E l k 9~";"k E l k 9~";"QUELQU'UN, UNE, QUELQUES-UNS, -UNES, pron. et nom. indéf.";"0";NULL;NULL;NULL;NULL;NULL
"86968";"qu'en-dira-t-on";"commonNoun";"masculine";NULL;NULL;"k a~ d i R a t o~";"k a~ d i R a t o~";"QU'EN-DIRA-T-ON, subst. masc. inv.";"0";NULL;NULL;NULL;NULL;NULL
"87054";"quô'c-ngũ'";"commonNoun";"masculine";NULL;NULL;;;"QUÔ'C-NGŨ', subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"87062";"rab'";"commonNoun";"masculine";NULL;NULL;"R a b";"R a b";"RABIOT, subst. masc.#vedette2:Rab(e), rab', (Rab, Rabe)subst. masc.,";"0";NULL;NULL;NULL;NULL;NULL
"88504";"rock'n'roll";"commonNoun";"masculine";NULL;NULL;"R O k E n R O l";"R O/ k E n R O l";"ROCK2, ROCK AND ROLL, ROCK'N'ROLL, subst. masc. et adj. inv.";"0";NULL;NULL;NULL;NULL;NULL
"88505";"rock'n'roller";"verb";NULL;NULL;NULL;"R O k E n R O l e";"R O/ k E n R O l e";"ROCK2, ROCK AND ROLL, ROCK'N'ROLL, subst. masc. et adj. inv.#vedette2:Rock and roller, rock'n'roller, verbe intrans.";"0";NULL;NULL;NULL;NULL;NULL
"88728";"s'";"functionWord";NULL;NULL;NULL;"s";"s";"SE, S', pron. pers.";"0";NULL;NULL;NULL;NULL;NULL
"89901";"s'il te";"functionWord";NULL;NULL;NULL;"s i l t @";"s i l t @";"S'IL TE/VOUS PLAÎT, loc. interj.";"0";NULL;NULL;NULL;NULL;NULL
"89967";"simili-secrétaire d'état";"commonNoun";"masculine";NULL;NULL;"s i m i l i s @ k R e t E R d e t a";"s i m i l i s @ k R E/ t E R d e t a";"SIMILI-, élém. formant#vedette3:simili-secrétaire d'État, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"90331";"sot-l'y-laisse";"commonNoun";"masculine";NULL;NULL;"s o l i l E s @";"s o l i l E/ s @";"SOT-L'Y-LAISSE, subst. masc. inv.";"0";NULL;NULL;NULL;NULL;NULL
"92218";"t'";"functionWord";NULL;NULL;NULL;"t";"t";"TE, T', pron. pers.";"0";NULL;NULL;NULL;NULL;NULL
"92352";"tape-à-l'œil";"commonNoun";"masculine";NULL;NULL;"t a p a l 9 j";"t a p a l 9 j";"TAPE(-)À(-)L'ŒIL, (TAPE À LŒIL, TAPE-À-LŒIL)subst. masc. et adj. inv.";"1";NULL;NULL;NULL;NULL;NULL
"93216";"tire-d'aile";"commonNoun";"masculine";NULL;NULL;"t i R @ d E l @";"t i R @ d E l @";"TIRE-D'AILE (À), subst. masc. et loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"93217";"tire-d'aile";"functionWord";NULL;NULL;NULL;"t i R @ d E l @";"t i R @ d E l @";"TIRE-D'AILE (À), subst. masc. et loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"93218";"tire-d'aile à";"commonNoun";"masculine";NULL;NULL;"a t i R @ d E l @";"a t i R @ d E l @";"TIRE-D'AILE (À), subst. masc. et loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"93219";"tire-d'aile à";"functionWord";NULL;NULL;NULL;"a t i R @ d E l @";"a t i R @ d E l @";"TIRE-D'AILE (À), subst. masc. et loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"93244";"tire-l'œil";"commonNoun";"masculine";NULL;NULL;"t i R @ l 9 j";"t i R @ l 9 j";"TIRE-L'ŒIL, subst. masc. inv.";"0";NULL;NULL;NULL;NULL;NULL
"93452";"tout-à-l'égout";"commonNoun";"masculine";NULL;NULL;"t u a l e g u";"t u a l E/ g u";"TOUT-À-L'ÉGOUT, subst. masc. inv.";"0";NULL;NULL;NULL;NULL;NULL
"93600";"trait d'union";"commonNoun";"masculine";NULL;NULL;"t R E d y n j o~";"t R E/ d y n j o~";"TRAIT D'UNION, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"93706";"traveller's chèque";"commonNoun";"masculine";NULL;NULL;"t R a v l 9 R s S E k";"t R a v l 9 R s S E k";"TRAVELLER'S CHÈQUE, TRAVELLER, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"93989";"trompe-l'esprit";"commonNoun";"masculine";NULL;NULL;"t R o~ p @ l E s p R i";"t R o~ p @ l E s p R i";"TROMPE-, élém. de compos.#vedette3:trompe-l'esprit, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"93990";"trompe-l'œil";"commonNoun";"masculine";NULL;NULL;"t R o~ p @ l 9 j";"t R o~ p @ l 9 j";"TROMPE-L'ŒIL, subst. masc. inv.";"0";NULL;NULL;NULL;NULL;NULL
"94889";"vau-l'eau";"functionWord";NULL;NULL;NULL;"v o l o";"v o l o";"VAU(-)L'EAU (À), (VAU LEAU , VAU-LEAU )loc. adv. et subst.";"1";NULL;NULL;NULL;NULL;NULL
"94890";"vau-l'eau";"commonNoun";NULL;NULL;NULL;"v o l o";"v o l o";"VAU(-)L'EAU (À), (VAU LEAU , VAU-LEAU )loc. adv. et subst.";"1";NULL;NULL;NULL;NULL;NULL
"94893";"vau-l'eau à";"functionWord";NULL;NULL;NULL;"a v o l o";"a v o l o";"VAU(-)L'EAU (À), (VAU LEAU , VAU-LEAU )loc. adv. et subst.";"1";NULL;NULL;NULL;NULL;NULL
"94894";"vau-l'eau à";"commonNoun";NULL;NULL;NULL;"a v o l o";"a v o l o";"VAU(-)L'EAU (À), (VAU LEAU , VAU-LEAU )loc. adv. et subst.";"1";NULL;NULL;NULL;NULL;NULL
